PG2,VM6,VM1,VM8,VM2,VM3,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,Feas
0.5779045658725842,0.9987629513540679,0.9971055858214408,0.9911834621213523,0.9756916808626029,0.9512299819104977,0.217,0.9420000000000001,0.478,0.07713489196271209,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5692694727225595,0.981844641016089,1.0034926957669885,0.9935724889536514,0.9772585611543277,0.949714067209884,0.217,0.9420000000000001,0.478,0.07589800165854019,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5744878842452519,0.9988860790487931,1.0016821487790872,0.9807244488193755,0.9802008179813193,0.9512482550260855,0.217,0.9420000000000001,0.478,0.07635683126678243,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5715178460718077,1.0072651440976506,1.0086598972948289,0.9974131338318956,0.9834986983983237,0.958142666825218,0.217,0.9420000000000001,0.478,0.07686887449988294,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5700179241909323,1.0079730259897102,1.0083956562045353,1.0002927065483218,0.9829231133955477,0.9566106660442536,0.217,0.9420000000000001,0.478,0.07663796935486207,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5740505266236021,1.0068192853725273,1.00757604951793,1.0011217889099207,0.9822720561290456,0.9583485840862237,0.217,0.9420000000000001,0.478,0.07979065399173044,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5842786463080492,1.0127541460638765,1.0114701827449628,1.0063501224054978,0.988091284992449,0.9518617521065718,0.217,0.9420000000000001,0.478,0.0724818458097662,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5835532068103246,1.0200744027112283,1.0195779549611528,0.9993748853609823,0.9936681581282991,0.9540780699156808,0.217,0.9420000000000001,0.478,0.0738936563138993,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5824818847967065,1.0199215408466962,1.0184756835953803,1.0005068866422404,0.9928095128257275,0.9543285871847068,0.217,0.9420000000000001,0.478,0.07394830100515278,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5832546230026687,1.020638253702797,1.0182820751325612,1.001480522630913,0.994319249262024,0.9547622905721773,0.217,0.9420000000000001,0.478,0.07370283270535738,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5649663547058581,1.0209208432352113,1.0110953315381122,1.0174016764941098,0.9840476401550363,0.9407361030890715,0.217,0.9420000000000001,0.478,0.0732384359159241,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.560335915438655,1.0195291405394087,1.0160130342381901,1.0007342853346315,0.9916414080588083,0.9646460621559829,0.217,0.9420000000000001,0.478,0.07223711011133997,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5604834066799544,1.018969501061523,1.014111331294419,1.0021504964837948,0.9914685791096782,0.966904504994222,0.217,0.9420000000000001,0.478,0.07341976656072793,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5409493332743123,1.0254110362761675,1.0110333001697658,1.0093567136541615,0.9901134884141389,0.9685502132565008,0.217,0.9420000000000001,0.478,0.0789503707209459,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5899998617450888,1.0212585749820475,1.0144539438738864,0.9983623668725983,0.9943518866585077,0.9675870997625664,0.217,0.9420000000000001,0.478,0.07665737470302175,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.544070644099703,1.0257784248117472,1.014135272514203,1.0075454791925056,0.9920240308973435,0.9626549914552487,0.217,0.9420000000000001,0.478,0.07613654441345602,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5444032397120182,1.0254435207523385,1.0144289408581597,1.0073303519443795,0.9913599681672723,0.9624845488882805,0.217,0.9420000000000001,0.478,0.07604551948843567,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
0.5428277030716373,1.0270932712569902,1.0124718351421436,1.0090793611964801,0.991738932773159,0.9635140226559069,0.217,0.9420000000000001,0.478,0.07960370495184393,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0
