PG2,VM6,VM1,VM8,VM2,VM3,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,N0,flow_viol,over_volt,under_volt,N1,damping,distance
0.5358585926347373,1.0029402731722692,1.0137918990260173,0.9948257919775144,0.9784382033451566,0.9408172102840572,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05116419441840494,-0.09945651624855799
0.5440565514954188,1.0091464518143192,1.0278604120111074,0.9788266158257922,0.9981824449240625,0.9697827866924218,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.0511777825586722,-0.09945654191454825
0.5730670822952425,1.05799324986246,1.0338117021802622,1.0064337915209045,0.9797772233244343,0.9514356980715177,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.051223402443816374,-0.0994566413334603
0.5481608948476144,1.0428720282188075,1.031215646503346,0.9834007219248058,0.9703174536335833,0.9478741844576429,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05118447074828383,-0.09945655517467983
0.5379797794744958,1.0326608345077997,1.0260481389499287,0.9727306906399358,0.9660321508374163,0.9431622805321486,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05116773951664111,-0.09945652278394354
0.5264822136397027,1.0216677274049908,1.0378627185154154,0.997308404362235,0.970514724830441,0.9635843609335856,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05114828065656971,-0.09945648825469845
0.43426845935653036,1.016853557407723,1.0285196731596689,0.9442428772635609,0.9904317976501138,0.9467449276497938,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05097174871382483,-0.09945629546715502
0.46419715650108684,0.9848259266016217,1.0184927238230708,0.9756786140839706,0.9849519821342967,0.9418555827031053,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.051032837472503985,-0.09945634107093489
0.4208138634478116,0.993718088866589,1.0185651831216342,0.9923543003775173,0.9634413051234382,0.9414836301236961,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.050943211301874826,-0.09945628044682969
0.4130074123518866,1.0018312988328049,1.0137966149567972,0.9986411416262568,0.9652813579392505,0.9526436064655168,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.050926366716753116,-0.09945627330196755
0.4309161389670224,1.002457893296503,1.0135494034630166,0.9547156400419526,0.9889376076483988,0.9600603072135903,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05096469833797816,-0.09945629140494432
0.4596598951145257,1.0281515454847854,1.0265052012982132,0.9796882500259245,0.9912910838221929,0.9448340700890018,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.051023797578269685,-0.09945633308409253
0.4862511551939861,1.0246615812982203,1.0378725365125803,1.0108001016788508,0.9689324779073079,0.9548566071475914,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.051075594082046066,-0.09945638527234145
0.5094957279659584,0.9924288057972621,1.0361735083451702,1.0131675980213382,0.9910843798245915,0.9660006202763547,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05111845142282171,-0.09945644132995564
0.4908127678349565,0.9985414736369498,1.0350514658269439,1.0092038568112445,0.9914300040031438,0.9694662846576355,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05108418661515269,-0.0994563955158399
0.49443246200997687,1.0359448357093088,1.0342593183471807,1.0074243467611528,0.9938623432330635,0.9547536174054088,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05109094226563536,-0.09945640390927109
0.5541715939574412,1.0387170707937183,1.035871918036675,0.9893912939793708,0.9730052782010169,0.9610631995381181,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05119412661302061,-0.09945657508066864
0.5577968709524644,1.012836049559399,1.0322988597758482,0.9989888263324449,0.9664822499335223,0.955838885328367,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05119987052399056,-0.09945658736323114
0.5894261089875812,1.0217767288282875,1.023070545077142,0.9669470549734572,1.0007053594124622,0.9725192373884085,0.217,0.9420000000000001,0.478,0.076,0.11199999999999999,0.295,0.09,0.035,0.061,0.135,0.149,1.0,0.0,0.0,0.0,1,0.05124742352420203,-0.09945670302442122
