PG2,VM34,VM31,VM35,VM32,VM36,VM33,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,PD21,N0,flow_viol,over_volt,under_volt,N1,damping,distance
0.9200000083793198,0.964932631695885,1.0364613656904273,0.9771499352869261,1.0245518706243477,0.9850081193429603,1.0012394777953275,0.15189999999999998,0.0168,0.0532,0.6838382517725293,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.054893471192252276,-0.13864799938051606
0.9200000083762464,0.9647158649777118,1.0364611320824606,0.9772267782115802,1.02479458700563,0.9850846061132381,1.0023661766266898,0.15189999999999998,0.0168,0.0532,0.6678026185101297,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05494888074369314,-0.1385471041833988
0.920000008370086,0.9642930560440724,1.0364606595960089,0.977391137730583,1.025286663450715,0.9852486904242233,1.0046400555581338,0.15189999999999998,0.0168,0.0532,0.635271702985128,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.055076984623061875,-0.13836087516447118
0.920000008380247,0.9649987730778888,1.036461435894443,0.9771274137448709,1.0244790039306977,0.9849857334684512,1.0009005634749248,0.15189999999999998,0.0168,0.0532,0.6886510297007885,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.054877779295136125,-0.13867954248705971
0.9200000083762316,0.9647148361195282,1.0364611309603808,0.9772271543638942,1.024795753756881,0.9850849809076467,1.0023715845371504,0.15189999999999998,0.0168,0.0532,0.6677255179087981,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.054949158916400516,-0.1385466345226417
0.9200000083839921,0.9652694115890577,1.0364617182103446,0.9770395116681041,1.02418632825407,0.9848985112057526,0.9995361732131238,0.15189999999999998,0.0168,0.0532,0.7079757321497109,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05481898438523576,-0.1388124023461506
0.9200000083829512,0.9651936300881504,1.0364616399391928,0.9770634545763393,1.0242674158187854,0.9849222440461086,0.9999146860308333,0.15189999999999998,0.0168,0.0532,0.7026227139991464,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05483460501969579,-0.1387745775546368
0.920000008377116,0.9647768178017069,1.0364611983302279,0.9772046896629121,1.0247257174436908,0.985062603708456,1.002046826452566,0.15189999999999998,0.0168,0.0532,0.6723533409901356,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05493265927312282,-0.1385750952421469
0.9200000083833714,0.965224165070462,1.0364616715486823,0.9770537458376954,1.0242346637800612,0.9849126181453456,0.9997618473779956,0.15189999999999998,0.0168,0.0532,0.7047849422437847,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05482823465098699,-0.1387897595516634
0.9200000083846968,0.9653209540999775,1.0364617711105408,0.977023515437688,1.0241315487978528,0.9848826663573391,0.9992802475774013,0.15189999999999998,0.0168,0.0532,0.7115915739730302,0.1596,0.21,0.0406,0.07839999999999998,0.043399999999999994,0.057399999999999986,0.0245,0.063,0.0224,0.06649999999999999,0.0154,0.12249999999999998,0.0224,0.06089999999999999,0.0245,0.0168,0.07419999999999999,1.0,0.0,0.0,0.0,1,0.05480871591436637,-0.13883841059979465
