New Unit no.;138;158;139;159;119;120;140;141;142;160;121;122;161;123;143;144;145;162;163;124;125;126;146;147;127;128;148;129;130;131;149;164;165;150;151;152;132;153;133;134;166;167;154;168;135;136;155;156;169;157;137;170;171;172
Default Unit no.;1;4;6;8;10;12;15;18;19;24;25;26;27;31;32;34;36;40;42;46;49;54;55;56;59;61;62;65;66;69;70;72;73;74;76;77;80;85;87;89;90;91;92;99;100;103;104;105;107;110;111;112;113;116
Type;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST;IEEEST
input_code;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
remote_bus_control;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
A1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T1;1;5;3;1;1.5;0.5;0.2;1;1;5;9;13;17;21;25;29;33;37;41;45;49;53;57;61;65;69;73;77;81;85;89;93;97;101;105;109;113;117;121;125;129;133;137;141;145;149;153;157;161;165;169;173;177;181
T2;0.05;0.4;0.2;0.1;0.2;0.1;0.02;0.2;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;5
T3;3;1;2;1;1;0.5;0.5;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
