PG1;PG3;PG4;PG5;PG6;PG7;PG8;PG9;PG10;VM37;VM33;VM30;VM34;VM31;VM35;VM36;VM39;VM38;VM32;PD1;PD2;PD3;PD4;PD5;PD6;PD7;PD8;PD9;PD10;PD11;PD12;PD13;PD14;PD15;PD16;PD17;PD18;PD19;PD20;PD21;N0;N0P;N0Q;N0L;N0OV;N0UV;N1L;N1OV;N1UV;N1;damping;distance
8.417852829208886;6.0567041261289996;6.520000057987481;1.8853282270534193;5.763509763584709;4.958257029687996;4.834695123229169;4.932496146111854;0.6451970502224476;1.0360857956821499;1.016650993128152;1.040976252517937;0.990003775151925;1.038447518081561;1.0271011036496809;1.0276936467797104;1.0530599809228331;1.0089412607888513;1.0097570173970807;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0458322250654332;-0.1
1.8123695511382936;5.418760777579533;1.77952708901073;5.080000044614907;6.8700000624992;4.658025608997337;5.640000050035671;8.179261470009752;4.59873451151852;1.0295944880941574;0.9784297212966168;1.0392722367349598;1.0033157811834144;1.0100366486867205;1.0241169401677557;1.0592489876269835;0.9913767041742673;1.0354214132545803;0.9914017442389177;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.025724333369843633;-0.1
6.436864244988256;7.25000006577274;4.506977233088009;3.789501918408455;1.2675211610991124;1.2668539586489487;1.2488277959265903;8.650000079595156;9.49088724707218;1.0281856057381769;0.9770264749119572;1.0522833172760935;0.9881786566468939;1.0221733323542148;1.00138740673287;1.0239396184470702;1.0151262611541663;1.0392582892230342;1.0230476462547873;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.03724343783298467;-0.1
4.967699293467762;4.185323063400163;4.014347365758472;2.398069490858739;5.812218559312352;3.8209067931896294;5.177402763661714;2.418034275855403;11.000000102863895;1.0259628268873937;0.9929195274174728;1.0546529377561253;0.9947499416604911;0.994597053581909;1.0469580776114817;1.0525629902800495;1.019535671848483;1.0050461832393518;1.0000524336009882;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.054256501983659826;-0.1
8.890444349217745;1.4325506266213435;6.280580975909893;5.079999968398893;3.131282042462004;5.80000005092499;2.7789654129729855;3.566068742247246;6.904361533569631;1.0268530026743854;1.00761107983707;1.0468643002907454;1.0018789877138523;1.0035578272958765;1.0504599281318499;1.0599998589782926;1.0260681191316994;1.011522239398107;1.0111787185050565;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05497334184964031;-0.1
8.890444350591322;5.051766745741562;6.520000061481643;2.948396396920871;3.5864442492603823;4.391178667622529;3.137377093658962;4.990051098806224;4.343542925935267;1.0305019967529452;1.0065147451374408;1.0468643047948603;0.9922631432508785;1.0256547102063167;1.0268721125937217;1.0350643032589073;1.0378790014662742;1.009508251925751;1.024148916233459;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05355767942488293;-0.1
6.7750740820048225;3.197252997817055;5.084344263464051;4.438419824090716;5.132186891652883;5.686853198414345;4.333465195247444;4.803083426012682;4.4991150485716265;1.0302788794388156;1.000329360008051;1.0460526019600433;0.9986129801721233;1.0084087074829213;1.0386402471329834;1.053232441351833;1.0125922400684855;1.0072875743835323;1.0257113392360089;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0499917731420257;-0.1
7.111290934539784;6.037280862564946;5.136974806810366;3.77848596581236;2.7600332180106095;3.0306869339643354;2.4139711610972565;7.332986900780755;6.344542175693566;1.0325633847613966;0.9884999599999482;1.0509796533065474;0.9900696658970156;1.0207604390841423;1.011125809424143;1.0299137910968759;1.0159267762757571;1.0224102315664896;1.027155888708549;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.046347131179316596;-0.1
8.006354235018575;5.236595015720321;5.734936918830901;3.6878126248428273;2.54239847934472;3.3718109574785213;2.2817200698785354;6.222212631225867;6.827910138717555;1.029272206782879;0.9921123114652789;1.0490339066170948;0.9905010672765586;1.0177829630523774;1.0169946591660546;1.0325022304087421;1.0192260692678285;1.0168063929258218;1.0249944777453461;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.058720419870386904;-0.1
5.918640799803454;6.088473429055338;4.492848973538228;3.5397360183744864;4.34796654614712;3.570428924178188;3.6944171479631103;6.995983968994939;5.322992155462409;1.032958075825468;0.9869234220240514;1.0489980717881175;0.9917567084972342;1.018234285402274;1.013701104843692;1.0336398281773735;1.00871759173339;1.0159888451966939;1.0255633877046069;0.7808;2.5760000000000005;4.0;1.8704;4.176;0.052000000000000005;0.06824;2.5600000000000005;2.632;1.2640000000000002;5.44;2.192;1.9800000000000002;2.4688000000000003;1.7920000000000003;1.1119999999999999;2.248;1.6480000000000001;2.2680000000000002;0.0736;8.831999999999999;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.052518724289695964;-0.1
