PG3,PG5,PG7,VM63,VM60,VM59,VM62,VM64,VM61,VM58,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,PD11,PD12,PD13,PD14,PD15,PD16,PD17,PD18,PD19,PD20,PD21,PD22,PD23,PD24,PD25,PD26,PD27,PD28,PD29,PD30,PD31,PD32,PD33,PD34,PD35,PD36,PD37,PD38,PD39,PD40,PD41,PD42,N0,flow_viol,over_volt,under_volt,N1,damping,distance
0.5762738641468411,4.45976391607382,5.180428123806454,1.0177143533736923,1.019427404821091,1.0451992316385077,0.9917336486185555,0.9981418249324333,1.001408163746055,0.988835744148258,0.55,0.03,0.41,0.1311668894464139,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004202434759252189,-0.0026438240270507847
0.5887220119051598,4.469981369964203,5.167294140681901,1.0190005245269993,1.0259593904731767,1.0457978136052142,1.002241420312039,0.9973090402355383,0.9963937443741301,0.9912646552488841,0.55,0.03,0.41,0.13055384504719553,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004212946778441149,-0.002643824027040876
0.599363000416596,4.4898904081973825,5.141982601301466,1.0119667468010323,1.0133429890467303,1.0409436213699155,0.9850058989843976,0.9969601367992541,0.9981094652089231,0.9808124293489081,0.55,0.03,0.41,0.12482716030734031,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.000422005852759858,-0.0026438240271010036
0.5981939258765251,4.478224942888464,5.134820599747362,1.0113598812848783,1.0196778292145956,1.0351185688485103,0.9914797178784489,0.9967367016786418,1.0053662568426587,0.9870482604696484,0.55,0.03,0.41,0.13112206533602822,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004237878073017757,-0.002643824027077549
0.5787541957720074,4.484316120727116,5.148843620378519,1.0083894552900614,1.019332914254128,1.0328129443306504,0.9907591674358723,0.9958574355441465,1.0073407237937033,0.9852419920372987,0.55,0.03,0.41,0.12675110100706993,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.00042065374744802,-0.002643824027032824
0.5653596100892008,4.48279094648077,5.165849653751086,1.0119192899120313,1.0070624317790233,1.033646193516928,0.9879537385069502,0.9943853727805412,1.0015541736497973,0.9910029492942233,0.55,0.03,0.41,0.1360832167995098,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004196732826686865,-0.002643824027072384
0.5673008147098338,4.456712012331143,5.189463764655309,1.00802694110429,0.9891992526265039,1.0290856940315265,0.9806365944675456,0.9930184932000793,1.008610895658306,0.9879983802763906,0.55,0.03,0.41,0.13165841888183608,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004192795868299252,-0.0026438240270684195
0.5664150035341846,4.4560920636337205,5.189999954538305,1.0150823477790127,0.9962203820280162,1.038717487325245,0.9863106211457996,0.9949794258253245,0.9955544654202573,0.991937299716261,0.55,0.03,0.41,0.13171566558277553,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.00041923341795483695,-0.002643824027057335
0.5716242721580086,4.469682005616264,5.167185351844883,1.0145952215385574,0.9991551580815722,1.0346108777431022,0.9925389277781728,0.9960436933897456,1.0046487457688917,0.9958883478633028,0.55,0.03,0.41,0.1348253697123412,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.000420665462736352,-0.002643824027055397
0.5729172270420185,4.479659270846881,5.169352485188928,1.0087100060516079,0.9984065956577116,1.0343389009109716,0.9749300281927005,0.9938923010417409,1.0011402270957803,0.9867245697372837,0.55,0.03,0.41,0.13250712218249852,0.75,1.5,1.21,0.05,3.77,0.18,0.105,0.22,0.43,0.42,0.272,0.033,0.023,0.063,0.063,0.09300000000000001,0.046,0.17,0.036000000000000004,0.057999999999999996,0.016,0.038,0.06,0.14,0.063,0.071,0.02,0.12,0.297,0.18,0.21,0.18,0.049,0.2,0.040999999999999995,0.068,0.076,0.067,1.0,0.0,0.0,0.0,1,0.0004197058115550301,-0.0026438240270191004
